id,time,strangerhead_prop_maskon,strangerhead_prop_maskoff
7093,34,0,NA
7093,35,0.444444444,NA
7093,36,0.222222222,0
7093,37,0,0.333333333
7093,38,0,NA
7093,39,0,NA
7093,40,0,NA
7093,41,0,NA
7093,42,0,0
7093,43,0,0
7093,44,0,0
7093,45,0,0
7093,46,0,0.52173913
7093,47,0,0
7093,48,0,0
7093,49,0,0.392857143
7093,50,0,0.052631579
7093,51,0,0
7093,52,0,0
7093,53,0,0.55
7093,54,0,1
7093,55,0,0
7093,56,0,0.588235294
7093,57,0,0.083333333
7093,58,0,0.166666667
7093,59,0,0.785714286
7093,60,0,0
7093,61,0,0.380952381
7093,62,NA,1
7093,63,NA,0.466666667
7093,64,NA,0
7095,1,0,1
7095,2,0,1
7095,3,0,1
7095,4,0.862068966,1
7095,5,0.517241379,1
7095,6,0.535714286,1
7095,7,0,1
7095,8,0.782608696,1
7095,9,1,1
7095,10,0.321428571,1
7095,11,0,1
7095,12,0,1
7095,13,0,1
7095,14,0.055555556,1
7095,15,0,0
7095,16,0,0
7095,17,0,0.444444444
7095,18,0.925925926,1
7095,19,1,1
7095,20,0.857142857,1
7095,21,0,1
7095,22,0,NA
7095,23,0,0
7095,24,0,0
7095,25,0,NA
7095,26,0.178571429,NA
7095,27,1,1
7095,28,1,1
7095,29,1,1
7095,30,1,0.92
7095,31,1,1
7095,32,1,1
7095,33,1,0.807692308
7095,34,1,0.433333333
7095,35,1,0.727272727
7095,36,1,0
7095,37,1,NA
7095,38,1,0
7095,39,1,0
7095,40,1,0.555555556
7095,41,1,0
7099,1,0,1
7099,2,0,1
7099,3,0,0.357142857
7099,4,0,0.888888889
7099,5,0,0.961538462
7099,6,0,0.962962963
7099,7,0,0.538461538
7099,8,0.766666667,1
7099,9,1,1
7099,10,0.541666667,1
7099,11,0,1
7099,12,0.966666667,1
7099,13,1,1
7099,14,0.192307692,1
7099,15,0.866666667,1
7099,16,1,1
7099,17,1,1
7099,18,1,1
7099,19,0.538461538,1
7099,20,0,0.466666667
7099,21,0.555555556,0.793103448
7099,22,0.307692308,1
7099,23,0.933333333,1
7099,24,0.714285714,1
7099,25,0.655172414,1
7099,26,0.75862069,NA
7099,27,0.7,NA
7099,28,1,NA
7099,29,1,NA
7099,30,1,NA
7099,31,0.75,NA
7099,32,0,0
7099,33,0,NA
7099,34,0.625,NA
7099,35,1,NA
7099,36,0.52,NA
7099,37,0.192307692,NA
7099,38,1,0
7099,39,1,NA
7099,40,1,NA
7099,41,1,1
7099,42,1,NA
7099,43,1,1
7099,44,0.366666667,1
7099,45,0,1
7099,46,0.185185185,1
7099,47,1,0
7099,48,1,0.818181818
7099,49,0.592592593,0.476190476
7099,50,0.6,0
7099,51,1,0
7099,52,NA,0
7100,1,0,1
7100,2,0,1
7100,3,0,1
7100,4,0,1
7100,5,0,0.766666667
7100,6,0,1
7100,7,0.5,0.464285714
7100,8,0.9,0.933333333
7100,9,0.933333333,0.88
7100,10,0.296296296,1
7100,11,0.633333333,1
7100,12,0.034482759,1
7100,13,1,1
7100,14,0.44,1
7100,15,1,1
7100,16,0.928571429,1
7100,17,0.727272727,1
7100,18,0.526315789,1
7100,19,0.107142857,1
7100,20,1,1
7100,21,1,0.965517241
7100,22,1,0.846153846
7100,23,1,1
7100,24,1,0.75
7100,25,0.833333333,1
7100,26,0.8,0.466666667
7100,27,1,1
7100,28,0.666666667,1
7100,29,0.733333333,0.857142857
7100,30,0.366666667,1
7100,31,0,0.925925926
7100,32,0,0.933333333
7100,33,0,0.615384615
7100,34,0,0.8
7100,35,0,1
7100,36,0,0.433333333
7100,37,NA,0.666666667
7100,38,0,0.178571429
7100,39,0,0
7100,40,NA,0
7100,41,NA,NA
7102,1,0,1
7102,2,0,1
7102,3,0,0.433333333
7102,4,0.633333333,1
7102,5,0,1
7102,6,0.692307692,1
7102,7,0.366666667,0.62962963
7102,8,0.678571429,0.625
7102,9,0.307692308,1
7102,10,0,1
7102,11,0.266666667,0.966666667
7102,12,0.033333333,0.8
7102,13,0,1
7102,14,0.366666667,1
7102,15,1,1
7102,16,1,1
7102,17,1,0.866666667
7102,18,0.433333333,0.333333333
7102,19,0.966666667,0.958333333
7102,20,1,1
7102,21,1,1
7102,22,0.7,1
7102,23,1,1
7102,24,1,1
7102,25,0.607142857,1
7102,26,0.666666667,1
7102,27,0.466666667,1
7102,28,0.481481481,1
7102,29,1,1
7102,30,0.833333333,1
7102,31,0.466666667,0.571428571
7102,32,1,1
7102,33,1,1
7102,34,0.285714286,0.928571429
7102,35,0.551724138,0
7102,36,0.344827586,0.857142857
7102,37,0,1
7102,38,0,1
